# Created by CAVA2.0.11 based on MANE release 1.1
GENEID	SYMBOL	Transcript	Protein
B3GNTL1	B3GNTL1	NM_001009905.3	NP_001009905.2
METRNL	METRNL	NM_001004431.3	NP_001004431.1
TUBB8B	TUBB8B	NM_001358689.2	NP_001345618.1
USP14	USP14	NM_005151.4	NP_005142.1
THOC1	THOC1	NM_005131.3	NP_005122.2
COLEC12	COLEC12	NM_130386.3	NP_569057.2
CETN1	CETN1	NM_004066.3	NP_004057.1
CLUL1	CLUL1	NM_001393344.1	NP_001380273.1
TYMS	TYMS	NM_001071.4	NP_001062.1
ENOSF1	ENOSF1	NM_017512.7	NP_059982.2
YES1	YES1	NM_005433.4	NP_005424.1
ADCYAP1	ADCYAP1	NM_001099733.2	NP_001093203.1
METTL4	METTL4	NM_022840.5	NP_073751.3
NDC80	NDC80	NM_006101.3	NP_006092.1
SMCHD1	SMCHD1	NM_015295.3	NP_056110.2
EMILIN2	EMILIN2	NM_032048.3	NP_114437.2
LPIN2	LPIN2	NM_001375808.2	NP_001362737.1
MYOM1	MYOM1	NM_003803.4	NP_003794.3
MYL12A	MYL12A	NM_006471.4	NP_006462.1
MYL12B	MYL12B	NM_033546.4	NP_291024.1
TGIF1	TGIF1	NM_003244.4	NP_003235.1
DLGAP1	DLGAP1	NM_004746.4	NP_004737.2
AKAIN1	AKAIN1	NM_001145194.2	NP_001138666.1
ZBTB14	ZBTB14	NM_001243702.2	NP_001230631.1
EPB41L3	EPB41L3	NM_012307.5	NP_036439.2
TMEM200C	TMEM200C	NM_001395400.1	NP_001382329.1
L3MBTL4	L3MBTL4	NM_001330559.2	NP_001317488.1
ARHGAP28	ARHGAP28	NM_001366230.1	NP_001353159.1
LAMA1	LAMA1	NM_005559.4	NP_005550.2
LRRC30	LRRC30	NM_001105581.3	NP_001099051.1
PTPRM	PTPRM	NM_001105244.2	NP_001098714.1
RAB12	RAB12	NM_001025300.3	NP_001020471.3
MTCL1	MTCL1	NM_001395333.1	NP_001382262.1
NDUFV2	NDUFV2	NM_021074.5	NP_066552.2
ANKRD12	ANKRD12	NM_015208.5	NP_056023.3
TWSG1	TWSG1	NM_020648.6	NP_065699.1
RALBP1	RALBP1	NM_006788.4	NP_006779.1
PPP4R1	PPP4R1	NM_001042388.3	NP_001035847.1
RAB31	RAB31	NM_006868.4	NP_006859.2
TXNDC2	TXNDC2	NM_032243.6	NP_115619.4
VAPA	VAPA	NM_194434.3	NP_919415.2
APCDD1	APCDD1	NM_153000.5	NP_694545.1
NAPG	NAPG	NM_003826.3	NP_003817.1
PIEZO2	PIEZO2	NM_001378183.1	NP_001365112.1
SLC35G4	SLC35G4	NM_001282300.2	NP_001269229.1
GNAL	GNAL	NM_182978.4	NP_892023.1
GNAL	GNAL	NM_001369387.1	NP_001356316.1
CHMP1B	CHMP1B	NM_020412.5	NP_065145.2
MPPE1	MPPE1	NM_023075.6	NP_075563.3
IMPA2	IMPA2	NM_014214.3	NP_055029.1
ANKRD62	ANKRD62	NM_001277333.2	NP_001264262.1
CIDEA	CIDEA	NM_001279.4	NP_001270.1
TUBB6	TUBB6	NM_032525.3	NP_115914.1
AFG3L2	AFG3L2	NM_006796.3	NP_006787.2
PRELID3A	PRELID3A	NM_001142405.2	NP_001135877.1
SPIRE1	SPIRE1	NM_001128626.2	NP_001122098.1
PSMG2	PSMG2	NM_020232.5	NP_064617.2
CEP76	CEP76	NM_024899.4	NP_079175.2
PTPN2	PTPN2	NM_002828.4	NP_002819.2
SEH1L	SEH1L	NM_001013437.2	NP_001013455.1
CEP192	CEP192	NM_032142.4	NP_115518.3
LDLRAD4	LDLRAD4	NM_001378100.1	NP_001365029.1
FAM210A	FAM210A	NM_152352.4	NP_689565.2
RNMT	RNMT	NM_003799.3	NP_003790.1
MC5R	MC5R	NM_005913.3	NP_005904.1
MC2R	MC2R	NM_000529.2	NP_000520.1
ZNF519	ZNF519	NM_145287.4	NP_660330.2
POTEC	POTEC	NM_001137671.2	NP_001131143.1
ANKRD30B	ANKRD30B	NM_001367607.2	NP_001354536.1
ROCK1	ROCK1	NM_005406.3	NP_005397.1
GREB1L	GREB1L	NM_001142966.3	NP_001136438.1
ESCO1	ESCO1	NM_052911.3	NP_443143.2
SNRPD1	SNRPD1	NM_006938.4	NP_008869.1
ABHD3	ABHD3	NM_138340.5	NP_612213.2
MIB1	MIB1	NM_020774.4	NP_065825.1
GATA6	GATA6	NM_005257.6	NP_005248.2
CTAGE1	CTAGE1	NM_172241.3	NP_758441.2
RBBP8	RBBP8	NM_002894.3	NP_002885.1
CABLES1	CABLES1	NM_001100619.3	NP_001094089.1
TMEM241	TMEM241	NM_032933.6	NP_116322.3
RIOK3	RIOK3	NM_003831.5	NP_003822.2
RMC1	RMC1	NM_013326.5	NP_037458.3
NPC1	NPC1	NM_000271.5	NP_000262.2
ANKRD29	ANKRD29	NM_173505.4	NP_775776.2
LAMA3	LAMA3	NM_198129.4	NP_937762.2
LAMA3	LAMA3	NM_000227.6	NP_000218.3
TTC39C	TTC39C	NM_001135993.2	NP_001129465.1
CABYR	CABYR	NM_153769.3	NP_722453.1
OSBPL1A	OSBPL1A	NM_080597.4	NP_542164.2
IMPACT	IMPACT	NM_018439.4	NP_060909.2
HRH4	HRH4	NM_021624.4	NP_067637.2
ZNF521	ZNF521	NM_015461.3	NP_056276.1
SS18	SS18	NM_001007559.3	NP_001007560.1
PSMA8	PSMA8	NM_001025096.2	NP_001020267.1
TAF4B	TAF4B	NM_005640.3	NP_005631.1
KCTD1	KCTD1	NM_001142730.3	NP_001136202.1
AQP4	AQP4	NM_001650.7	NP_001641.1
CHST9	CHST9	NM_031422.6	NP_113610.2
CDH2	CDH2	NM_001792.5	NP_001783.2
DSC3	DSC3	NM_001941.5	NP_001932.2
DSC2	DSC2	NM_024422.6	NP_077740.1
DSC1	DSC1	NM_024421.2	NP_077739.1
DSG1	DSG1	NM_001942.4	NP_001933.2
DSG4	DSG4	NM_177986.5	NP_817123.1
DSG3	DSG3	NM_001944.3	NP_001935.2
DSG2	DSG2	NM_001943.5	NP_001934.2
TTR	TTR	NM_000371.4	NP_000362.1
B4GALT6	B4GALT6	NM_004775.5	NP_004766.2
SLC25A52	SLC25A52	NM_001034172.4	NP_001029344.4
TRAPPC8	TRAPPC8	NM_014939.5	NP_055754.3
RNF125	RNF125	NM_017831.4	NP_060301.2
RNF138	RNF138	NM_016271.5	NP_057355.2
MEP1B	MEP1B	NM_005925.3	NP_005916.2
GAREM1	GAREM1	NM_001242409.2	NP_001229338.1
KLHL14	KLHL14	NM_020805.3	NP_065856.1
CCDC178	CCDC178	NM_001105528.4	NP_001098998.1
ASXL3	ASXL3	NM_030632.3	NP_085135.1
NOL4	NOL4	NM_003787.5	NP_003778.2
DTNA	DTNA	NM_001386795.1	NP_001373724.1
MAPRE2	MAPRE2	NM_014268.4	NP_055083.1
ZNF397	ZNF397	NM_001135178.3	NP_001128650.1
ZSCAN30	ZSCAN30	NM_001112734.4	NP_001106205.1
ZNF24	ZNF24	NM_006965.4	NP_008896.2
ZNF396	ZNF396	NM_001322286.2	NP_001309215.1
INO80C	INO80C	NM_194281.4	NP_919257.2
GALNT1	GALNT1	NM_020474.4	NP_065207.2
C18orf21	C18orf21	NM_031446.5	NP_113634.3
RPRD1A	RPRD1A	NM_018170.5	NP_060640.2
SLC39A6	SLC39A6	NM_012319.4	NP_036451.4
ELP2	ELP2	NM_018255.4	NP_060725.1
MOCOS	MOCOS	NM_017947.4	NP_060417.4
FHOD3	FHOD3	NM_001281740.3	NP_001268669.1
TPGS2	TPGS2	NM_015476.4	NP_056291.2
KIAA1328	KIAA1328	NM_020776.3	NP_065827.1
CELF4	CELF4	NM_020180.4	NP_064565.1
PIK3C3	PIK3C3	NM_002647.4	NP_002638.2
RIT2	RIT2	NM_002930.4	NP_002921.1
SYT4	SYT4	NM_020783.4	NP_065834.1
SETBP1	SETBP1	NM_015559.3	NP_056374.2
SLC14A2	SLC14A2	NM_007163.4	NP_009094.3
SLC14A1	SLC14A1	NM_015865.7	NP_056949.4
EPG5	EPG5	NM_020964.3	NP_066015.2
SIGLEC15	SIGLEC15	NM_213602.3	NP_998767.1
PSTPIP2	PSTPIP2	NM_024430.4	NP_077748.3
ATP5F1A	ATP5F1A	NM_004046.6	NP_004037.1
HAUS1	HAUS1	NM_138443.4	NP_612452.1
ARK2N	ARK2N	NM_145055.5	NP_659492.1
ARK2C	ARK2C	NM_152470.3	NP_689683.2
LOXHD1	LOXHD1	NM_001384474.1	NP_001371403.1
ST8SIA5	ST8SIA5	NM_013305.6	NP_037437.2
PIAS2	PIAS2	NM_004671.5	NP_004662.2
KATNAL2	KATNAL2	NM_001387690.1	NP_001374619.1
ELOA2	ELOA2	NM_016427.3	NP_057511.2
HDHD2	HDHD2	NM_032124.5	NP_115500.1
IER3IP1	IER3IP1	NM_016097.5	NP_057181.1
SKOR2	SKOR2	NM_001278063.4	NP_001264992.1
SMAD2	SMAD2	NM_005901.6	NP_005892.1
ZBTB7C	ZBTB7C	NM_001318841.2	NP_001305770.1
CTIF	CTIF	NM_014772.3	NP_055587.1
SMAD7	SMAD7	NM_005904.4	NP_005895.1
DYM	DYM	NM_001353214.3	NP_001340143.1
C18orf32	C18orf32	NM_001035005.4	NP_001030177.1
RPL17	RPL17	NM_001035006.5	NP_001030178.1
LIPG	LIPG	NM_006033.4	NP_006024.1
ACAA2	ACAA2	NM_006111.3	NP_006102.2
MYO5B	MYO5B	NM_001080467.3	NP_001073936.1
CFAP53	CFAP53	NM_145020.5	NP_659457.2
MBD1	MBD1	NM_015846.4	NP_056671.2
CXXC1	CXXC1	NM_014593.4	NP_055408.2
SKA1	SKA1	NM_145060.4	NP_659497.1
MAPK4	MAPK4	NM_002747.4	NP_002738.2
MRO	MRO	NM_031939.6	NP_114145.2
ME2	ME2	NM_002396.5	NP_002387.1
ELAC1	ELAC1	NM_018696.3	NP_061166.1
SMAD4	SMAD4	NM_005359.6	NP_005350.1
MEX3C	MEX3C	NM_016626.5	NP_057710.3
DCC	DCC	NM_005215.4	NP_005206.2
MBD2	MBD2	NM_003927.5	NP_003918.1
POLI	POLI	NM_007195.3	NP_009126.2
STARD6	STARD6	NM_139171.2	NP_631910.1
C18orf54	C18orf54	NM_001288980.2	NP_001275909.1
DYNAP	DYNAP	NM_173629.3	NP_775900.2
RAB27B	RAB27B	NM_004163.4	NP_004154.2
CCDC68	CCDC68	NM_025214.3	NP_079490.1
TCF4	TCF4	NM_001083962.2	NP_001077431.1
TXNL1	TXNL1	NM_004786.3	NP_004777.1
WDR7	WDR7	NM_015285.3	NP_056100.2
BOD1L2	BOD1L2	NM_001257964.2	NP_001244893.1
ST8SIA3	ST8SIA3	NM_015879.3	NP_056963.2
ONECUT2	ONECUT2	NM_004852.3	NP_004843.2
FECH	FECH	NM_000140.5	NP_000131.2
NARS1	NARS1	NM_004539.4	NP_004530.1
ATP8B1	ATP8B1	NM_001374385.1	NP_001361314.1
NEDD4L	NEDD4L	NM_001144967.3	NP_001138439.1
ALPK2	ALPK2	NM_052947.4	NP_443179.3
MALT1	MALT1	NM_006785.4	NP_006776.1
ZNF532	ZNF532	NM_001375912.1	NP_001362841.1
SEC11C	SEC11C	NM_033280.4	NP_150596.1
GRP	GRP	NM_002091.5	NP_002082.2
RAX	RAX	NM_013435.3	NP_038463.2
CPLX4	CPLX4	NM_181654.4	NP_857637.1
LMAN1	LMAN1	NM_005570.4	NP_005561.1
CCBE1	CCBE1	NM_133459.4	NP_597716.1
PMAIP1	PMAIP1	NM_021127.3	NP_066950.1
MC4R	MC4R	NM_005912.3	NP_005903.2
CDH20	CDH20	NM_031891.4	NP_114097.2
RNF152	RNF152	NM_173557.3	NP_775828.1
PIGN	PIGN	NM_176787.5	NP_789744.1
RELCH	RELCH	NM_001346231.2	NP_001333160.1
TNFRSF11A	TNFRSF11A	NM_003839.4	NP_003830.1
ZCCHC2	ZCCHC2	NM_017742.6	NP_060212.4
PHLPP1	PHLPP1	NM_194449.4	NP_919431.2
BCL2	BCL2	NM_000633.3	NP_000624.2
KDSR	KDSR	NM_002035.4	NP_002026.1
VPS4B	VPS4B	NM_004869.4	NP_004860.2
SERPINB5	SERPINB5	NM_002639.5	NP_002630.2
SERPINB12	SERPINB12	NM_001307928.2	NP_001294857.1
SERPINB13	SERPINB13	NM_012397.4	NP_036529.1
SERPINB4	SERPINB4	NM_002974.4	NP_002965.1
SERPINB3	SERPINB3	NM_006919.3	NP_008850.1
SERPINB11	SERPINB11	NM_001370475.1	NP_001357404.1
SERPINB7	SERPINB7	NM_003784.4	NP_003775.1
SERPINB2	SERPINB2	NM_002575.3	NP_002566.1
SERPINB10	SERPINB10	NM_005024.3	NP_005015.1
HMSD	HMSD	NM_001123366.2	NP_001116838.1
SERPINB8	SERPINB8	NM_002640.4	NP_002631.3
CDH7	CDH7	NM_004361.5	NP_004352.2
CDH19	CDH19	NM_021153.4	NP_066976.1
DSEL	DSEL	NM_032160.3	NP_115536.2
TMX3	TMX3	NM_019022.5	NP_061895.3
CCDC102B	CCDC102B	NM_024781.3	NP_079057.3
DOK6	DOK6	NM_152721.6	NP_689934.2
CD226	CD226	NM_001303618.2	NP_001290547.1
RTTN	RTTN	NM_173630.4	NP_775901.3
SOCS6	SOCS6	NM_004232.4	NP_004223.2
CBLN2	CBLN2	NM_182511.4	NP_872317.1
NETO1	NETO1	NM_138966.5	NP_620416.2
FBXO15	FBXO15	NM_001142958.2	NP_001136430.1
TIMM21	TIMM21	NM_014177.3	NP_054896.2
CYB5A	CYB5A	NM_148923.4	NP_683725.1
C18orf63	C18orf63	NM_001174123.2	NP_001167594.1
DIPK1C	DIPK1C	NM_001044369.3	NP_001037834.2
CNDP2	CNDP2	NM_018235.3	NP_060705.2
CNDP1	CNDP1	NM_032649.6	NP_116038.4
ZNF407	ZNF407	NM_017757.3	NP_060227.2
PTGR3	PTGR3	NM_175907.6	NP_787103.1
TSHZ1	TSHZ1	NM_001308210.2	NP_001295139.1
SMIM21	SMIM21	NM_001037331.3	NP_001032408.1
ZNF516	ZNF516	NM_014643.4	NP_055458.1
ZNF236	ZNF236	NM_001306089.2	NP_001293018.1
MBP	MBP	NM_001025101.2	NP_001020272.1
GALR1	GALR1	NM_001480.4	NP_001471.2
SALL3	SALL3	NM_171999.4	NP_741996.2
ATP9B	ATP9B	NM_198531.5	NP_940933.3
NFATC1	NFATC1	NM_001278669.2	NP_001265598.1
CTDP1	CTDP1	NM_004715.5	NP_004706.3
KCNG2	KCNG2	NM_012283.2	NP_036415.1
SLC66A2	SLC66A2	NM_025078.5	NP_079354.2
HSBP1L1	HSBP1L1	NM_001136180.2	NP_001129652.1
TXNL4A	TXNL4A	NM_006701.5	NP_006692.1
RBFA	RBFA	NM_024805.3	NP_079081.2
ADNP2	ADNP2	NM_014913.4	NP_055728.1
PARD6G	PARD6G	NM_032510.4	NP_115899.1
OR4F17	OR4F17	NM_001005240.3	NP_001005240.1
PLPP2	PLPP2	NM_003712.4	NP_003703.1
MIER2	MIER2	NM_017550.3	NP_060020.1
THEG	THEG	NM_016585.5	NP_057669.1
C2CD4C	C2CD4C	NM_001136263.2	NP_001129735.1
SHC2	SHC2	NM_012435.3	NP_036567.2
ODF3L2	ODF3L2	NM_182577.3	NP_872383.1
MADCAM1	MADCAM1	NM_130760.3	NP_570116.2
TPGS1	TPGS1	NM_033513.3	NP_277048.2
CDC34	CDC34	NM_004359.2	NP_004350.1
GZMM	GZMM	NM_005317.4	NP_005308.2
BSG	BSG	NM_001728.4	NP_001719.2
HCN2	HCN2	NM_001194.4	NP_001185.3
POLRMT	POLRMT	NM_005035.4	NP_005026.3
FGF22	FGF22	NM_020637.2	NP_065688.1
RNF126	RNF126	NM_194460.3	NP_919442.1
FSTL3	FSTL3	NM_005860.3	NP_005851.1
PRSS57	PRSS57	NM_001308209.2	NP_001295138.2
PALM	PALM	NM_002579.3	NP_002570.2
MISP	MISP	NM_173481.4	NP_775752.1
PTBP1	PTBP1	NM_002819.5	NP_002810.1
PLPPR3	PLPPR3	NM_001270366.2	NP_001257295.1
AZU1	AZU1	NM_001700.5	NP_001691.1
PRTN3	PRTN3	NM_002777.4	NP_002768.3
ELANE	ELANE	NM_001972.4	NP_001963.1
CFD	CFD	NM_001928.4	NP_001919.2
MED16	MED16	NM_005481.3	NP_005472.2
R3HDM4	R3HDM4	NM_138774.4	NP_620129.2
KISS1R	KISS1R	NM_032551.5	NP_115940.2
ARID3A	ARID3A	NM_005224.3	NP_005215.1
WDR18	WDR18	NM_024100.4	NP_077005.2
GRIN3B	GRIN3B	NM_138690.3	NP_619635.1
TMEM259	TMEM259	NM_001033026.2	NP_001028198.1
CNN2	CNN2	NM_004368.4	NP_004359.1
ABCA7	ABCA7	NM_019112.4	NP_061985.2
ARHGAP45	ARHGAP45	NM_012292.5	NP_036424.2
POLR2E	POLR2E	NM_002695.5	NP_002686.3
GPX4	GPX4	NM_002085.5	NP_002076.2
SBNO2	SBNO2	NM_014963.3	NP_055778.2
STK11	STK11	NM_000455.5	NP_000446.1
CBARP	CBARP	NM_001393918.1	NP_001380847.1
ATP5F1D	ATP5F1D	NM_001687.5	NP_001678.1
MIDN	MIDN	NM_001388306.1	NP_001375235.1
CIRBP	CIRBP	NM_001300829.2	NP_001287758.1
FAM174C	FAM174C	NM_017914.4	NP_060384.3
EFNA2	EFNA2	NM_001405.4	NP_001396.2
PWWP3A	PWWP3A	NM_001369789.1	NP_001356718.1
NDUFS7	NDUFS7	NM_024407.5	NP_077718.3
GAMT	GAMT	NM_000156.6	NP_000147.1
DAZAP1	DAZAP1	NM_018959.4	NP_061832.2
RPS15	RPS15	NM_001018.5	NP_001009.1
APC2	APC2	NM_005883.3	NP_005874.1
C19orf25	C19orf25	NM_152482.3	NP_689695.2
PCSK4	PCSK4	NM_017573.5	NP_060043.2
REEP6	REEP6	NM_001329556.3	NP_001316485.1
REEP6	REEP6	NM_138393.4	NP_612402.1
ADAMTSL5	ADAMTSL5	NM_213604.3	NP_998769.2
PLK5	PLK5	NM_001243079.2	NP_001230008.1
MEX3D	MEX3D	NM_203304.4	NP_976049.3
MBD3	MBD3	NM_001281453.2	NP_001268382.1
UQCR11	UQCR11	NM_006830.4	NP_006821.1
TCF3	TCF3	NM_001136139.4	NP_001129611.1
TCF3	TCF3	NM_003200.5	NP_003191.1
ONECUT3	ONECUT3	NM_001080488.2	NP_001073957.1
ATP8B3	ATP8B3	NM_138813.4	NP_620168.1
REXO1	REXO1	NM_020695.4	NP_065746.3
KLF16	KLF16	NM_031918.4	NP_114124.1
ABHD17A	ABHD17A	NM_001130111.2	NP_001123583.1
SCAMP4	SCAMP4	NM_079834.4	NP_524558.1
ADAT3	ADAT3	NM_138422.4	NP_612431.2
CSNK1G2	CSNK1G2	NM_001319.7	NP_001310.3
BTBD2	BTBD2	NM_017797.4	NP_060267.2
MKNK2	MKNK2	NM_199054.3	NP_951009.1
MOB3A	MOB3A	NM_130807.3	NP_570719.1
IZUMO4	IZUMO4	NM_001039846.2	NP_001034935.1
AP3D1	AP3D1	NM_001261826.3	NP_001248755.1
DOT1L	DOT1L	NM_032482.3	NP_115871.1
PLEKHJ1	PLEKHJ1	NM_018049.3	NP_060519.1
SF3A2	SF3A2	NM_007165.5	NP_009096.2
AMH	AMH	NM_000479.5	NP_000470.3
JSRP1	JSRP1	NM_144616.4	NP_653217.1
PEAK3	PEAK3	NM_198532.3	NP_940934.1
LINGO3	LINGO3	NM_001101391.3	NP_001094861.1
LSM7	LSM7	NM_016199.3	NP_057283.1
SPPL2B	SPPL2B	NM_152988.3	NP_694533.1
TMPRSS9	TMPRSS9	NM_001395513.1	NP_001382442.1
TIMM13	TIMM13	NM_012458.4	NP_036590.1
LMNB2	LMNB2	NM_032737.4	NP_116126.3
GADD45B	GADD45B	NM_015675.4	NP_056490.2
GNG7	GNG7	NM_052847.3	NP_443079.1
DIRAS1	DIRAS1	NM_145173.4	NP_660156.1
SLC39A3	SLC39A3	NM_144564.5	NP_653165.2
SGTA	SGTA	NM_003021.4	NP_003012.1
THOP1	THOP1	NM_003249.5	NP_003240.1
ZNF554	ZNF554	NM_001102651.2	NP_001096121.1
ZNF555	ZNF555	NM_152791.5	NP_690004.4
ZNF556	ZNF556	NM_024967.3	NP_079243.1
ZNF57	ZNF57	NM_173480.3	NP_775751.1
ZNF77	ZNF77	NM_021217.3	NP_067040.1
TLE6	TLE6	NM_001143986.2	NP_001137458.1
TLE2	TLE2	NM_003260.5	NP_003251.2
TLE5	TLE5	NM_001130.6	NP_001121.2
GNA11	GNA11	NM_002067.5	NP_002058.2
GNA15	GNA15	NM_002068.4	NP_002059.3
S1PR4	S1PR4	NM_003775.4	NP_003766.1
NCLN	NCLN	NM_020170.4	NP_064555.2
CELF5	CELF5	NM_021938.4	NP_068757.2
NFIC	NFIC	NM_001245002.2	NP_001231931.1
SMIM24	SMIM24	NM_001136503.2	NP_001129975.1
SMIM44	SMIM44	NM_001395954.1	NP_001382883.1
DOHH	DOHH	NM_001145165.2	NP_001138637.1
FZR1	FZR1	NM_016263.4	NP_057347.2
MFSD12	MFSD12	NM_174983.5	NP_778148.2
TEKTIP1	TEKTIP1	NM_001135580.2	NP_001129052.1
HMG20B	HMG20B	NM_006339.3	NP_006330.2
GIPC3	GIPC3	NM_133261.3	NP_573568.1
TBXA2R	TBXA2R	NM_001060.6	NP_001051.1
CACTIN	CACTIN	NM_001080543.2	NP_001074012.1
PIP5K1C	PIP5K1C	NM_012398.3	NP_036530.1
TJP3	TJP3	NM_001267560.2	NP_001254489.1
APBA3	APBA3	NM_004886.4	NP_004877.1
MRPL54	MRPL54	NM_172251.3	NP_758455.1
RAX2	RAX2	NM_001319074.4	NP_001306003.2
MATK	MATK	NM_139355.3	NP_647612.1
ZFR2	ZFR2	NM_015174.2	NP_055989.1
ATCAY	ATCAY	NM_033064.5	NP_149053.1
NMRK2	NMRK2	NM_170678.3	NP_733778.1
DAPK3	DAPK3	NM_001348.3	NP_001339.1
EEF2	EEF2	NM_001961.4	NP_001952.1
PIAS4	PIAS4	NM_015897.4	NP_056981.2
ZBTB7A	ZBTB7A	NM_015898.4	NP_056982.1
MAP2K2	MAP2K2	NM_030662.4	NP_109587.1
CREB3L3	CREB3L3	NM_032607.3	NP_115996.1
SIRT6	SIRT6	NM_016539.4	NP_057623.2
ANKRD24	ANKRD24	NM_001393985.1	NP_001380914.1
EBI3	EBI3	NM_005755.3	NP_005746.2
YJU2	YJU2	NM_018074.6	NP_060544.2
SHD	SHD	NM_020209.4	NP_064594.3
TMIGD2	TMIGD2	NM_001169126.2	NP_001162597.1
FSD1	FSD1	NM_024333.3	NP_077309.1
STAP2	STAP2	NM_001013841.2	NP_001013863.1
MPND	MPND	NM_001300862.2	NP_001287791.1
SH3GL1	SH3GL1	NM_003025.4	NP_003016.1
CHAF1A	CHAF1A	NM_005483.3	NP_005474.2
UBXN6	UBXN6	NM_025241.3	NP_079517.1
HDGFL2	HDGFL2	NM_001001520.3	NP_001001520.1
PLIN4	PLIN4	NM_001367868.2	NP_001354797.1
PLIN5	PLIN5	NM_001013706.3	NP_001013728.2
LRG1	LRG1	NM_052972.3	NP_443204.1
SEMA6B	SEMA6B	NM_032108.4	NP_115484.2
TNFAIP8L1	TNFAIP8L1	NM_152362.3	NP_689575.2
MYDGF	MYDGF	NM_019107.4	NP_061980.1
DPP9	DPP9	NM_139159.5	NP_631898.3
FEM1A	FEM1A	NM_018708.3	NP_061178.1
TICAM1	TICAM1	NM_182919.4	NP_891549.1
PLIN3	PLIN3	NM_005817.5	NP_005808.3
ARRDC5	ARRDC5	NM_001080523.3	NP_001073992.2
UHRF1	UHRF1	NM_001048201.3	NP_001041666.1
KDM4B	KDM4B	NM_015015.3	NP_055830.1
PTPRS	PTPRS	NM_002850.4	NP_002841.3
ZNRF4	ZNRF4	NM_181710.4	NP_859061.3
TINCR	TINCR	NM_001396408.1	NP_001383337.1
SAFB2	SAFB2	NM_014649.3	NP_055464.1
SAFB	SAFB	NM_001201338.2	NP_001188267.1
MICOS13	MICOS13	NM_205767.3	NP_991330.1
HSD11B1L	HSD11B1L	NM_198706.3	NP_941995.1
RPL36	RPL36	NM_033643.3	NP_378669.1
LONP1	LONP1	NM_004793.4	NP_004784.2
CATSPERD	CATSPERD	NM_152784.4	NP_689997.3
PRR22	PRR22	NM_001134316.2	NP_001127788.1
DUS3L	DUS3L	NM_020175.3	NP_064560.2
NRTN	NRTN	NM_004558.5	NP_004549.1
FUT6	FUT6	NM_000150.4	NP_000141.1
FUT5	FUT5	NM_002034.2	NP_002025.2
NDUFA11	NDUFA11	NM_175614.5	NP_783313.1
VMAC	VMAC	NM_001017921.4	NP_001017921.1
CAPS	CAPS	NM_004058.5	NP_004049.3
RANBP3	RANBP3	NM_007322.3	NP_015561.1
RFX2	RFX2	NM_000635.4	NP_000626.2
ACSBG2	ACSBG2	NM_030924.5	NP_112186.3
MLLT1	MLLT1	NM_005934.4	NP_005925.2
ACER1	ACER1	NM_133492.3	NP_597999.1
CLPP	CLPP	NM_006012.4	NP_006003.1
ALKBH7	ALKBH7	NM_032306.4	NP_115682.1
PSPN	PSPN	NM_004158.5	NP_004149.1
GTF2F1	GTF2F1	NM_002096.3	NP_002087.2
KHSRP	KHSRP	NM_001366299.1	NP_001353228.1
SLC25A41	SLC25A41	NM_173637.4	NP_775908.2
SLC25A23	SLC25A23	NM_024103.3	NP_077008.2
CRB3	CRB3	NM_139161.5	NP_631900.1
DENND1C	DENND1C	NM_024898.4	NP_079174.2
TUBB4A	TUBB4A	NM_006087.4	NP_006078.2
TNFSF9	TNFSF9	NM_003811.4	NP_003802.1
CD70	CD70	NM_001252.5	NP_001243.1
TNFSF14	TNFSF14	NM_001376887.1	NP_001363816.1
C3	C3	NM_000064.4	NP_000055.2
GPR108	GPR108	NM_001080452.2	NP_001073921.1
TRIP10	TRIP10	NM_001288962.2	NP_001275891.1
SH2D3A	SH2D3A	NM_005490.3	NP_005481.2
VAV1	VAV1	NM_005428.4	NP_005419.2
ADGRE1	ADGRE1	NM_001974.5	NP_001965.3
MBD3L2B	MBD3L2B	NM_001364674.2	NP_001351603.1
MBD3L5	MBD3L5	NM_001136507.2	NP_001129979.1
MBD3L4	MBD3L4	NM_001164419.3	NP_001157891.1
MBD3L2	MBD3L2	NM_144614.4	NP_653215.2
MBD3L3	MBD3L3	NM_001164425.4	NP_001157897.1
ZNF557	ZNF557	NM_024341.3	NP_077317.2
INSR	INSR	NM_000208.4	NP_000199.2
ARHGEF18	ARHGEF18	NM_001367823.1	NP_001354752.1
PEX11G	PEX11G	NM_080662.4	NP_542393.1
TEX45	TEX45	NM_198534.3	NP_940936.2
ZNF358	ZNF358	NM_018083.5	NP_060553.4
MCOLN1	MCOLN1	NM_020533.3	NP_065394.1
PNPLA6	PNPLA6	NM_001166114.2	NP_001159586.1
CAMSAP3	CAMSAP3	NM_020902.2	NP_065953.1
XAB2	XAB2	NM_020196.3	NP_064581.2
STXBP2	STXBP2	NM_006949.4	NP_008880.2
PET100	PET100	NM_001171155.2	NP_001164626.1
PCP2	PCP2	NM_174895.3	NP_777555.1
RETN	RETN	NM_020415.4	NP_065148.1
MCEMP1	MCEMP1	NM_174918.3	NP_777578.3
TRAPPC5	TRAPPC5	NM_001042462.2	NP_001035927.1
FCER2	FCER2	NM_001220500.2	NP_001207429.1
CLEC4G	CLEC4G	NM_198492.4	NP_940894.1
CD209	CD209	NM_021155.4	NP_066978.1
CLEC4M	CLEC4M	NM_014257.5	NP_055072.3
EVI5L	EVI5L	NM_001159944.3	NP_001153416.1
PRR36	PRR36	NM_001190467.2	NP_001177396.1
